opcode	uso	fichero	linea	contexto	nota
iov	read	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	90	byte[]? iov = ConnectionProtocol.ReadPayload(payload, "iov");	ConnectionProtocol.ReadPayload(frame, "xxx")
ioy	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	768	else if (payloadStr.Contains("type.ankama.com/ioy"))	comparacion de cadena sobre el frame recibido
ioy	read	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	176	byte[]? ioy = ConnectionProtocol.ReadPayload(payload, "ioy");	ConnectionProtocol.ReadPayload(frame, "xxx")
ipu	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
ipu	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	273	case "ipu": return ("World Loading", "Map", "MapInteractiveElements (Active doors and triggers)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ipv	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
ipv	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	272	case "ipv": return ("World Loading", "Map", "MapComplementaryInformationsData (Cell interactives)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ipw	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
ipw	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	274	case "ipw": return ("World Loading", "Map", "MapStatedElements (Visual state of the interactive elements)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
irm	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
irm	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	269	case "irm": return ("World Loading", "Character", "MapActorsListMessage (Initial NPC and mob spawns of the map)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
irm	push	Jondo.Unity.Launcher/Handlers/FightHandler.cs	4772	"type.ankama.com/irm", CharacterSelectionHandler.BuildDynamicIrmPayload()));	NetworkEnvelope.BuildGameNodePacket(uri, ...)
irq	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	257	byte[]? payload = ConnectionProtocol.ReadPayload(frame, "irq");	ConnectionProtocol.ReadPayload(frame, "xxx")
irq	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	303	if (ConnectionProtocol.ReadPayload(frame, "irq") != null)	ConnectionProtocol.ReadPayload(frame, "xxx")
irq	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	305	return ConnectionProtocol.Push("irq", ResetJobs(frame));	ConnectionProtocol.ReadPayload(frame, "xxx")
iry	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	337	case "iry": return ("In Game", "Inventory", "ItemMovementConfirm (Confirmation that the item was equipped)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
iry	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	21	Register("iry", iry.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
iry	push	Jondo.Unity.Launcher/Handlers/InventoryHandler.cs	225	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/iry", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
ise	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	16	Register("ise", GameMapMovementRequestMessage.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
ise	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	238	else if (!isAuthenticated && (payloadStr.Contains("type.ankama.com/hmt") || payloadStr.Contains("type.ankama.com/ise") || payloadStr.Contains("type.ankama.com/jtk") || payloadStr.Contains("type.ankama.com/knx") || payloa	comparacion de cadena sobre el frame recibido
isf	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
isf	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	284	case "isf": return ("World Loading", "Sync", "QuestListMessage (Notification of the active quests)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
isf	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	22	Register("isf", isf.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
isf	push	Jondo.Unity.Launcher/Handlers/StatsHandler.cs	217	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/isf", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
isf	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	123	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/isf", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
isi	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	336	case "isi": return ("In Game", "Inventory", "ItemMovementRequest (Request to equip/move an item)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
isi	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	23	Register("isi", isi.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
isi	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	759	else if (payloadStr.Contains("type.ankama.com/isi"))	comparacion de cadena sobre el frame recibido
isi	read	Jondo.Unity.Launcher/Handlers/InventoryHandler.cs	32	byte[]? inner = NetworkEnvelope.ExtractMessagePayload(payload, "type.ankama.com/isi");	NetworkEnvelope.ExtractMessagePayload(..., uri)
itc	push	Jondo.Unity.Launcher/Handlers/ChestHandler.cs	91	await AnnounceAsync(stream, uid, ArrivesInBag, "itc", "sale del cofre");	arg 'seVa' de AnnounceAsync; llega a ConnectionProtocol.Push(seVa,...) en ChestHandler.cs:139
itd	constante	Jondo.Unity.Launcher/Handlers/ChestHandler.cs	122	public const string ArrivesInChest = "itd";	const string
itg	push	Jondo.Unity.Launcher/Handlers/CommandHandler.cs	372	ConnectionProtocol.Push("itg",	ConnectionProtocol.Push("xxx", ...)
itg	push	Jondo.Unity.Launcher/Network/WorldEntry.cs	324	return ConnectionProtocol.Push("itg",	ConnectionProtocol.Push("xxx", ...)
itg	push	Jondo.Unity.Launcher/Network/WorldEntry.cs	331	return ConnectionProtocol.Push("itg", Array.Empty<byte>());	ConnectionProtocol.Push("xxx", ...)
itg	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	319	byte[]? itg = ConnectionProtocol.ReadPayload(frame, "itg");	ConnectionProtocol.ReadPayload(frame, "xxx")
ith	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
ith	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	325	case "ith": return ("World Loading", "Character", "FullCharacterStatsMessage (Bulk stats sheet)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ith	push	Jondo.Unity.Launcher/TransitionPayloads.cs	94	public static readonly byte[] ith = new byte[] {	opcode dentro de un array de bytes (TransitionPayloads.hnk/kqmList/ith); se manda tal cual
itn	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	803	else if (payloadStr.Contains("type.ankama.com/itn"))	comparacion de cadena sobre el frame recibido
itp	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
itp	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
itp	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
itp	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	261	case "itp": return ("World Loading", "Interfaces", "ShortcutBarContentMessage (Keyboard shortcuts and UI bars)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
itp	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	55	new byte[] { 0x1A, 0x47, 0x0A, 0x45, 0x0A, 0x13, 0x74, 0x79, 0x70, 0x65, 0x2E, 0x61, 0x6E, 0x6B, 0x61, 0x6D, 0x61, 0x2E, 0x63, 0x6F, 0x6D, 0x2F, 0x69, 0x74, 0x70, 0x12, 0x2E, 0x08, 0x01, 0x12, 0x02, 0	DESCARTADO: array de TransitionPayloads que no referencia nadie
itp	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	56	new byte[] { 0x1A, 0x47, 0x0A, 0x45, 0x0A, 0x13, 0x74, 0x79, 0x70, 0x65, 0x2E, 0x61, 0x6E, 0x6B, 0x61, 0x6D, 0x61, 0x2E, 0x63, 0x6F, 0x6D, 0x2F, 0x69, 0x74, 0x70, 0x12, 0x2E, 0x08, 0x01, 0x12, 0x02, 0	DESCARTADO: array de TransitionPayloads que no referencia nadie
itp	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	57	new byte[] { 0x1A, 0x17, 0x0A, 0x15, 0x0A, 0x13, 0x74, 0x79, 0x70, 0x65, 0x2E, 0x61, 0x6E, 0x6B, 0x61, 0x6D, 0x61, 0x2E, 0x63, 0x6F, 0x6D, 0x2F, 0x69, 0x74, 0x70 }	DESCARTADO: array de TransitionPayloads que no referencia nadie
itp	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	753	NetworkEnvelope.BuildGameNodePacket("type.ankama.com/itp", itpSpells),	NetworkEnvelope.BuildGameNodePacket(uri, ...)
itp	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	754	NetworkEnvelope.BuildGameNodePacket("type.ankama.com/itp", itpSpells),	NetworkEnvelope.BuildGameNodePacket(uri, ...)
itp	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	755	NetworkEnvelope.BuildGameNodePacket("type.ankama.com/itp", Array.Empty<byte>())	NetworkEnvelope.BuildGameNodePacket(uri, ...)
itr	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	829	cleanPayload.Contains("itr") || cleanPayload.Contains("knc") || cleanPayload.Contains("kna") ||	comparacion de cadena sobre el frame recibido
itw	push	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	805	byte[] rawItt = NetworkEnvelope.ConvertHexStringToByteArray("22-22-08-FF-FF-FF-FF-FF-FF-FF-FF-FF-01-12-15-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-69-74-77");	opcode escondido en cadena hex; la trama se escribe en el socket
ity	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
ity	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	296	case "ity": return ("World Loading", "Sync", "ExpMultiplierMessage (Global experience multipliers)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ity	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	18	public static byte[] BuildItyMessage() => BuildEmptyMessage("type.ankama.com/ity");	TransitionPacketsBuilder.BuildEmptyMessage(uri)
itz	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	571	else if (payloadStr.Contains("type.ankama.com/itz"))	comparacion de cadena sobre el frame recibido
itz	read	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	578	byte[]? itz = ConnectionProtocol.ReadPayload(payload, "itz");	ConnectionProtocol.ReadPayload(frame, "xxx")
iua	constante	Jondo.Unity.Launcher/Handlers/ChestHandler.cs	121	public const string ArrivesInBag = "iua";	const string
iua	push	Jondo.Unity.Launcher/Handlers/CharacterSelectionHandler.cs	131	byte[] iuaFrame = NetworkEnvelope.ConvertHexStringToByteArray("28-0A-26-12-24-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-69-75-61-12-0D-0A-02-14-23-10-06-18-A2-82-D8-B0-AF-1A");	opcode escondido en cadena hex; la trama se escribe en el socket
iua	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	293	ConnectionProtocol.Push("iua", ConnectionProtocol.BuildItemArrived(3, bought)));	ConnectionProtocol.Push("xxx", ...)
iuj	push	Jondo.Unity.Launcher/Handlers/CharacterSelectionHandler.cs	135	byte[] isjFrame = NetworkEnvelope.ConvertHexStringToByteArray("19-0A-17-12-15-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-69-75-6A");	opcode escondido en cadena hex; la trama se escribe en el socket
iuk	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	405	else if (payloadStr.Contains("type.ankama.com/iuk"))	comparacion de cadena sobre el frame recibido
iuk	read	Jondo.Unity.Launcher/Handlers/EquipmentHandler.cs	37	byte[]? iuk = ConnectionProtocol.ReadPayload(payload, "iuk");	ConnectionProtocol.ReadPayload(frame, "xxx")
ium	push	Jondo.Unity.Launcher/Handlers/ChestHandler.cs	96	await AnnounceAsync(stream, uid, ArrivesInChest, "ium", "entra en el cofre");	arg 'seVa' de AnnounceAsync; llega a ConnectionProtocol.Push(seVa,...) en ChestHandler.cs:139
ium	push	Jondo.Unity.Launcher/Handlers/DestroyItemHandler.cs	62	ConnectionProtocol.Push("ium", ConnectionProtocol.BuildItemGone(uid)));	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/CharacteristicsHandler.cs	138	ConnectionProtocol.Push("iun", ConnectionProtocol.BuildPods(0, capacity)));	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/ChestHandler.cs	100	ConnectionProtocol.Push("iun",	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/CommandHandler.cs	269	ConnectionProtocol.Push("iun",	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/DestroyItemHandler.cs	78	ConnectionProtocol.Push("iun",	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/EquipmentHandler.cs	91	ConnectionProtocol.Push("iun",	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/LotteryHandler.cs	57	ConnectionProtocol.Push("iun",	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	296	ConnectionProtocol.Push("iun", ConnectionProtocol.BuildPods(0, capacity)));	ConnectionProtocol.Push("xxx", ...)
iun	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	304	ConnectionProtocol.Push("iun", ConnectionProtocol.BuildPods(0, capacity)));	ConnectionProtocol.Push("xxx", ...)
iuq	push	Jondo.Unity.Launcher/Handlers/SpellHandler.cs	63	ConnectionProtocol.Push("iuq", ConnectionProtocol.BuildShortcutChanged(slot, wanted)));	ConnectionProtocol.Push("xxx", ...)
iuw	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	541	else if (payloadStr.Contains("type.ankama.com/iuw"))	comparacion de cadena sobre el frame recibido
iuw	read	Jondo.Unity.Launcher/Handlers/DestroyItemHandler.cs	27	byte[]? iuw = ConnectionProtocol.ReadPayload(payload, "iuw");	ConnectionProtocol.ReadPayload(frame, "xxx")
ivf	push	Jondo.Unity.Launcher/Handlers/CommandHandler.cs	177	ConnectionProtocol.Push("ivf", ConnectionProtocol.BuildKamas(GameState.Kamas)));	ConnectionProtocol.Push("xxx", ...)
ivf	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	200	ConnectionProtocol.Push("ivf", ConnectionProtocol.BuildKamas(GameState.Kamas)));	ConnectionProtocol.Push("xxx", ...)
ivf	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	290	ConnectionProtocol.Push("ivf", ConnectionProtocol.BuildKamas(GameState.Kamas)));	ConnectionProtocol.Push("xxx", ...)
ivf	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	301	ConnectionProtocol.Push("ivf", ConnectionProtocol.BuildKamas(GameState.Kamas)));	ConnectionProtocol.Push("xxx", ...)
ivf	push	Jondo.Unity.Launcher/Handlers/ZaapTravelHandler.cs	182	ConnectionProtocol.Push("ivf", ConnectionProtocol.BuildKamas(Jondo.Unity.Launcher.Network.SessionContext.State.Kamas)));	ConnectionProtocol.Push("xxx", ...)
ivk	push	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	583	ConnectionProtocol.Push("ivk", itz));	ConnectionProtocol.Push("xxx", ...)
ivq	push	Jondo.Unity.Launcher/Handlers/EquipmentHandler.cs	65	ConnectionProtocol.Push("ivq", Pb.New().Var(1, evicted.Uid).Var(2, Bag).Build()));	ConnectionProtocol.Push("xxx", ...)
ivq	push	Jondo.Unity.Launcher/Handlers/EquipmentHandler.cs	79	ConnectionProtocol.Push("ivq", Pb.New().Var(1, uid).Var(2, position).Build()));	ConnectionProtocol.Push("xxx", ...)
ivx	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	314	if (ConnectionProtocol.ReadPayload(frame, "ivx") != null)	ConnectionProtocol.ReadPayload(frame, "xxx")
ivx	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	316	return ConnectionProtocol.Push("ivx", ConnectionProtocol.BuildInventory());	ConnectionProtocol.ReadPayload(frame, "xxx")
ivx	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	484	byte[]? ivx = ConnectionProtocol.ReadPayload(frame, "ivx");	ConnectionProtocol.ReadPayload(frame, "xxx")
iwb	push	Jondo.Unity.Launcher/Handlers/ChestHandler.cs	55	ConnectionProtocol.Push("iwb", ConnectionProtocol.BuildStorageContent(content)));	ConnectionProtocol.Push("xxx", ...)
iwn	push	Jondo.Unity.Launcher/Handlers/ChestHandler.cs	47	ConnectionProtocol.Push("iwn", ConnectionProtocol.BuildElementInUse(	ConnectionProtocol.Push("xxx", ...)
iwn	push	Jondo.Unity.Launcher/Handlers/LotteryHandler.cs	35	ConnectionProtocol.Push("iwn", ConnectionProtocol.BuildElementInUse(	ConnectionProtocol.Push("xxx", ...)
iwn	push	Jondo.Unity.Launcher/Handlers/ZaapTravelHandler.cs	101	ConnectionProtocol.Push("iwn", ConnectionProtocol.BuildElementInUse(	ConnectionProtocol.Push("xxx", ...)
iwo	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	456	else if (payloadStr.Contains("type.ankama.com/iwo"))	comparacion de cadena sobre el frame recibido
iwo	read	Jondo.Unity.Launcher/Handlers/ZaapTravelHandler.cs	57	byte[]? iwo = ConnectionProtocol.ReadPayload(payload, "iwo");	ConnectionProtocol.ReadPayload(frame, "xxx")
iya	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
iya	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	293	case "iya": return ("World Loading", "Sync", "FeatureStatusMessage (Active experimental features)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
iya	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	17	public static byte[] BuildIyaMessage() => BuildEmptyMessage("type.ankama.com/iya");	TransitionPacketsBuilder.BuildEmptyMessage(uri)
izh	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
izh	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	295	case "izh": return ("World Loading", "Sync", "AlmanaxDateMessage (Almanax day and active bonus)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
izh	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	171	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/izh", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
izn	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
izn	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
izn	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	262	case "izn": return ("World Loading", "Interfaces", "ChatChannelsListMessage (Initialization of the local chat channels)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
izn	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	218	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/izn", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
izu	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
izu	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	309	case "izu": return ("World Loading", "Sync", "QuestStepProgress (Current quest progress)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
izu	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	61	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/izu", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
jaa	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	100	"kqg", "jhe", "jhh", "jhk", "hol", "jgu", "ihb", "koj", "ife", "jjs", "jaa",	lista de privacidad WorldEntry.NotReplayed; se usa en ReadPayload(message, opcode) en WorldEntry.cs:359
jav	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	485	|| payloadStr.Contains("type.ankama.com/jav")	comparacion de cadena sobre el frame recibido
jaw	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	486	|| payloadStr.Contains("type.ankama.com/jaw"))	comparacion de cadena sobre el frame recibido
jaz	push	Jondo.Unity.Launcher/Handlers/MerkasakoHandler.cs	180	ConnectionProtocol.Push("jaz"));	ConnectionProtocol.Push("xxx", ...)
jba	push	Jondo.Unity.Launcher/Handlers/MerkasakoHandler.cs	165	ConnectionProtocol.Push("jba"));	ConnectionProtocol.Push("xxx", ...)
jbg	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	479	else if (payloadStr.Contains("type.ankama.com/jbg"))	comparacion de cadena sobre el frame recibido
jbg	read	Jondo.Unity.Launcher/Handlers/MerkasakoHandler.cs	114	byte[]? jbg = ConnectionProtocol.ReadPayload(payload, "jbg");	ConnectionProtocol.ReadPayload(frame, "xxx")
jbk	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	484	else if (payloadStr.Contains("type.ankama.com/jbk")	comparacion de cadena sobre el frame recibido
jbl	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	468	else if (payloadStr.Contains("type.ankama.com/jbl"))	comparacion de cadena sobre el frame recibido
jbl	read	Jondo.Unity.Launcher/Handlers/MerkasakoHandler.cs	47	byte[]? jbl = ConnectionProtocol.ReadPayload(payload, "jbl");	ConnectionProtocol.ReadPayload(frame, "xxx")
jbm	push	Jondo.Unity.Launcher/Handlers/MerkasakoHandler.cs	106	ConnectionProtocol.Push("jbm"));	ConnectionProtocol.Push("xxx", ...)
jbn	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	462	else if (payloadStr.Contains("type.ankama.com/jbn"))	comparacion de cadena sobre el frame recibido
jbn	read	Jondo.Unity.Launcher/Handlers/MerkasakoHandler.cs	40	if (ConnectionProtocol.ReadPayload(payload, "jbn") == null) return;	ConnectionProtocol.ReadPayload(frame, "xxx")
jbs	push	Jondo.Unity.Launcher/Handlers/LotteryHandler.cs	47	ConnectionProtocol.Push("jbs", ConnectionProtocol.BuildLotteryResult(prize.Uid)));	ConnectionProtocol.Push("xxx", ...)
jbu	push	Jondo.Unity.Launcher/Handlers/MerkasakoHandler.cs	178	ConnectionProtocol.Push("jbu", ConnectionProtocol.BuildHavenBagFurniture(pieces)));	ConnectionProtocol.Push("xxx", ...)
jbv	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	474	else if (payloadStr.Contains("type.ankama.com/jbv"))	comparacion de cadena sobre el frame recibido
jct	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	828	cleanPayload.Contains("jct") || cleanPayload.Contains("jfc") || cleanPayload.Contains("kqk") ||	comparacion de cadena sobre el frame recibido
jdj	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
jdj	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	278	case "jdj": return ("World Loading", "Sync", "ServerDateMessage (Server date synchronization)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
jdj	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	13	public static readonly byte[] jdj = new byte[] {	DESCARTADO: array de TransitionPayloads que no referencia nadie
jdj	push	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	619	byte[] jdjBytes = NetworkEnvelope.ConvertHexStringToByteArray("12-3A-12-2D-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-6A-64-6A-12-16-12-14-32-30-32-36-2D-30-36-2D-33-30-54-30-35-3A-30-30-3A	opcode escondido en cadena hex; la trama se escribe en el socket
jfc	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	828	cleanPayload.Contains("jct") || cleanPayload.Contains("jfc") || cleanPayload.Contains("kqk") ||	comparacion de cadena sobre el frame recibido
jfc	push	Jondo.Unity.Launcher/Handlers/MapLoadHandler.cs	250	byte[] rawJfc = NetworkEnvelope.ConvertHexStringToByteArray("0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-6A-66-63");	opcode escondido en cadena hex; la trama se escribe en el socket
