# Lo que se sabe de cada opcode de 3.6.10.10, y de dónde se sabe.
#
# El SIGNIFICADO está medido: sale de docs/opcodes.md, que se construyó cruzando el código del
# emulador con 242 capturas del juego real. Un opcode con significado aquí es un opcode cuyo efecto
# se ha visto pasar por el cable.
#
# El NOMBRE es una propuesta, no un dato. Ankama no publica los nombres del protocolo Unity; el de
# esta columna es el que le corresponde por lo que hace, escrito al estilo de Dofus. Sirve para dos
# cosas: para que el modelo de la etapa 4 tenga ejemplos resueltos con los que calibrar, y para
# poder hablar de un mensaje sin decir «jsd». Vacío significa que el documento no establece qué
# hace, y entonces no se inventa.
#
# columnas: opcode	dirección	nombre propuesto	significado	handler	forma
jmu	C2S		No implementado. Exclusivo de las capturas de busqueda de grupo (Busqueda grupo); 8 mensajes.		
jpr	C2S		No implementado. Exclusivo de las capturas de busqueda de grupo (Busqueda grupo); 5 mensajes.		
kgl	S2C		No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 12 mensajes.		
kgp	S2C		No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 9 mensajes.		
kcu	S2C		No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 4 mensajes.		
hhk	S2C		No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 4 mensajes.		
iic	S2C_f3		No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); es una respuesta y devuelve id de peticion real (17); 17 mensajes.		
ify	C2S		No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); lleva id de peticion real (17); 17 mensajes.		
ija	S2C_f3		No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); es una respuesta y devuelve id de peticion real (11); 11 mensajes.		
igy	C2S		No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); lleva id de peticion real (11); 11 mensajes.		
izg	S2C		No implementado. Exclusivo de las capturas de Suenos Infinitos; 40 mensajes.		
ixg	S2C		No implementado. Exclusivo de las capturas de Suenos Infinitos; 14 mensajes.		
iyx	C2S		No implementado. Exclusivo de las capturas de Suenos Infinitos; 12 mensajes.		
iyb	S2C		No implementado. Exclusivo de las capturas de Suenos Infinitos; 12 mensajes.		
isv	S2C		No implementado. Exclusivo de las capturas de oficios (Oficios); 191 mensajes.		
kdb	S2C		No implementado. Exclusivo de las capturas de oficios (Oficios); 114 mensajes.		
kcj	C2S		No implementado. Exclusivo de las capturas de oficios (Oficios); 114 mensajes.		
irl	C2S		No implementado. Exclusivo de las capturas de oficios (Oficios); 30 mensajes.		
iej	S2C		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 38 mensajes.		
hir	C2S		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.		
him	S2C		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.		
jqt	S2C		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 5 mensajes.		
idz	S2C		No implementado. Exclusivo de las capturas de extras de conexion; 21 mensajes.		
idw	C2S		No implementado. Exclusivo de las capturas de extras de conexion; 16 mensajes.		
ieg	S2C		No implementado. Exclusivo de las capturas de extras de conexion; 12 mensajes.		
kwd	C2S		No implementado. Exclusivo de las capturas de extras de conexion; 8 mensajes.		
kia	S2C		No implementado. Exclusivo de las capturas de casas (Casas); 4 mensajes.		
khv	C2S		No implementado. Exclusivo de las capturas de casas (Casas); 4 mensajes.		
khu	S2C		No implementado. Exclusivo de las capturas de casas (Casas); 4 mensajes.		
ket	S2C		No implementado. Exclusivo de las capturas de intercambio (Intercambio); 5 mensajes.		
keq	S2C		No implementado. Exclusivo de las capturas de intercambio (Intercambio); 4 mensajes.		
kfz	S2C		No implementado. Exclusivo de las capturas de intercambio (Intercambio); 3 mensajes.		
ime	C2S		No implementado. Exclusivo de las capturas de grupos (Grupos); 2 mensajes.		
imy	S2C		No implementado. Exclusivo de las capturas de grupos (Grupos); 1 mensajes.		
jwj	S2C		No implementado. Exclusivo de las capturas de tienda (Tienda); 13 mensajes.		
ipb	S2C		No implementado. Exclusivo de las capturas de tienda (Tienda); 7 mensajes.		
ipa	C2S		No implementado. Exclusivo de las capturas de tienda (Tienda); 7 mensajes.		
mgb			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.		
mfx			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.		
mfp			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.		
mfo			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.		
mff			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.		
mfe			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.		
lya	S2C		No implementado. Exclusivo de las capturas de extras de apariencia; 3 mensajes.		
hih	S2C		No implementado. Exclusivo de las capturas de extras de apariencia; 2 mensajes.		
hov	C2S		No implementado. Exclusivo de las capturas de emotes; 19 mensajes.		
hoc	S2C		No implementado. Exclusivo de las capturas de emotes; 7 mensajes.		
hor	C2S		No implementado. Exclusivo de las capturas de emotes; 2 mensajes.		
hns	S2C		No implementado. Exclusivo de las capturas de emotes; 2 mensajes.		
lqw	C2S		No implementado. Exclusivo de las capturas de amigos (Amigos); 1 mensajes.		
lqq	S2C		No implementado. Exclusivo de las capturas de amigos (Amigos); 1 mensajes.		
lqe	S2C		No implementado. Exclusivo de las capturas de amigos (Amigos); 1 mensajes.		
jau	C2S		No implementado. Exclusivo de las capturas de bolsa de viaje (Merkasako); 2 mensajes.		
kts	C2S		No implementado. Exclusivo de las capturas de caracteristicas (Caracteristicas); 2 mensajes.		
hks	S2C		No implementado. Exclusivo de las capturas de alianzas (Alianzas); 1 mensajes.		
jxs	S2C		No implementado. Exclusivo de las capturas de mazmorras (Mazmorras); 1 mensajes.		
iuv	C2S	ShortcutBarMoveRequest	Mover o intercambiar dos huecos de una barra de atajos. El tráfico vivo confirma f1=hueco origen, f2=destino y f3=tipo de barra; 1 es la barra de hechizos.	GameNodeProxy.MoveBarSlot	f1: source slot, f2: target slot, f3: bar
kkn	C2S		Rama de 3.6.4.3: dispara la rafaga de inicializacion antigua (envia kkp, kkm, krb, ilc, joh, lor, kri, hmd, itp). No aparece en ninguna de las 242 capturas.	GameNodeProxy -> 3.6.4.3 initialisation burst	
ibt	C2S		Rama de 3.6.4.3: rafaga final (envia icg x3, ith, klt, klp). No aparece en ninguna de las 242 capturas.	GameNodeProxy -> final burst	
hmv	C2S		Rama de 3.6.4.3: envia hnk y la lista kqm. No aparece en ninguna de las 242 capturas.	GameNodeProxy	
lpj	C2S		Rama de 3.6.4.3: envia lpe. No aparece en ninguna de las 242 capturas.	GameNodeProxy	
loy	C2S		Rama de 3.6.4.3: envia tramas lok y jdj hardcodeadas. No aparece en ninguna de las 242 capturas.	GameNodeProxy	
kod	C2S		El ping de 3.6.4.3, respondido con kns. Sustituido por kqo/kqy. No aparece en ninguna captura.	GameNodeProxy	
jte	C2S		Se responde con una trama jto hardcodeada. No aparece en ninguna captura.	GameNodeProxy	
kkr	C2S		Peticion de carga de mapa antigua (3.6.4.3). No aparece en ninguna captura.	MapLoadHandler	
jos	C2S		Cambio de mapa antiguo (3.6.4.3), sustituido por jqk. No aparece en ninguna captura.	MapChangeHandler	
jpp	C2S		Confirmacion de movimiento antigua (3.6.4.3), sustituida por jrw. No aparece en ninguna captura.	MapChangeHandler	
isi	C2S		Movimiento de objeto antiguo (3.6.4.3), sustituido por iuk. No aparece en ninguna captura.	InventoryHandler	
krc	C2S		Subida de caracteristicas antigua (3.6.4.3), sustituida por kum. No aparece en ninguna captura.	StatsHandler	
kqn	C2S		Chat antiguo (3.6.4.3), sustituido por ktm. No aparece en ninguna captura.	ChatHandler	
jxx	C2S		Despacho de combate antiguo (3.6.4.3). No aparece en ninguna captura.	FightHandler	
kkp	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
kkm	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
krb	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
joh	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
lor	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
kri	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
hmd	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
itp	S2C		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama kkn)	
icg	S2C		Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama ibt)	
ith	S2C		Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama ibt)	
klt	S2C		Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama ibt)	
klp	S2C		Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama ibt)	
kqm	S2C		La lista que envia la rama hmv de 3.6.4.3, junto con hnk. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama hmv)	
lpe	S2C		Lo que envia la rama lpj de 3.6.4.3. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama lpj)	
lok	S2C		Trama hardcodeada que envia la rama loy de 3.6.4.3. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama loy)	
jdj	S2C		Trama hardcodeada que envia la rama loy de 3.6.4.3. No aparece en ninguna de las 242 capturas.	GameNodeProxy (rama loy)	
kns	S2C		La respuesta al ping kod de 3.6.4.3. No aparece en ninguna de las 242 capturas.	GameNodeProxy	
itw	S2C		Lo que GameNodeProxy responde a itn; no aparece en ninguna de las 242 capturas.	GameNodeProxy	
knm	C2S		Junto con kno y kny es lo que el cliente reenvia unos dos segundos despues cuando no le llego lva y no da el mapa por cargado.		
kno	C2S		Junto con knm y kny es lo que el cliente reenvia unos dos segundos despues cuando no le llego lva y no da el mapa por cargado.		
kny	C2S		Junto con knm y kno es lo que el cliente reenvia unos dos segundos despues cuando no le llego lva y no da el mapa por cargado.		
kqg	S2C	ContactsListMessage	La lista de contactos de la cuenta grabada; se reconoce por opcode y se descarta. 28 mensajes.	WorldEntry.NotReplayed	
jhe	S2C		El gremio de la cuenta grabada; se descarta. 7 mensajes.	WorldEntry.NotReplayed	
jhh	S2C	GuildInformationsGeneralMessage	El gremio otra vez: fecha de fundacion, nivel y numero de miembros. Se descarta; mientras viajaba provocaba un NullReferenceException en el cliente. 18 mensajes.	WorldEntry.NotReplayed	
jhk	S2C		El nombre del gremio, escrito. Se descarta; mientras viajaba provocaba un NullReferenceException en el cliente. 2 mensajes.	WorldEntry.NotReplayed	
hol	S2C		Conyuge y gremio de la cuenta grabada; se descarta. 4 mensajes.	WorldEntry.NotReplayed	
jgu	S2C	SpouseInformationsMessage	El conyuge, con su look; se descarta. 13 mensajes.	WorldEntry.NotReplayed	
ihb	S2C		Catorce conjuntos guardados, cada uno con un look; se descarta. 7 mensajes.	WorldEntry.NotReplayed	
ife	S2C		Alianzas, por nombre y tag; se descarta. 9 mensajes.	WorldEntry.NotReplayed	
jjs	S2C		Un puesto de jugador en el mapa, con la cuenta detras; se descarta. 10 mensajes.	WorldEntry.NotReplayed	
jaa	S2C		Lo mismo que jjs pero en su propio mensaje; se descarta. 5 mensajes.	WorldEntry.NotReplayed	
imd	C2S		Lo envia el cliente (1 vez); el fichero datos/dofus3_mappings.json lo llama InventoryWeightMessage y eso es falso, un informe de peso seria push del servidor.		
lqf	C2S		Es el opcode que mas usa id de peticion real: 76 peticiones. Viaja con lqg y lqt (76 en 55 ficheros).		
krl	C2S		Lleva id de peticion real en 14 peticiones.		
kro	C2S		Lleva id de peticion real en 14 peticiones. Ojo: la cadena kro tambien es una silaba del generador de nombres aleatorios de CharacterCreationHandler, colision que no es un opcode.		
kxh	C2S		Lleva id de peticion real en 4 peticiones.		
iio	C2S		Lleva id de peticion real en 3 peticiones.		
iha	C2S		Lleva id de peticion real en 2 peticiones.		
ihf	C2S		Lleva id de peticion real en 1 peticion.		
ihs	C2S		Lleva id de peticion real en 1 peticion.		
iin	C2S		Lleva id de peticion real en 1 peticion.		
iiy	C2S		Lleva id de peticion real en 1 peticion.		
lad	S2C_f3		Respuesta que devuelve un id de peticion real (4 respuestas).		
ihq	S2C_f3		Respuesta que devuelve un id de peticion real (3 respuestas).		
krv	C2S		El cliente lo envia justo tras la rafaga de bienvenida (9 veces en 8 ficheros) y lleva id de peticion real; el emulador deliberadamente no lo devuelve.		
kvc	C2S		El cliente lo envia justo tras la rafaga de bienvenida (10 veces en 9 ficheros); el emulador deliberadamente no lo devuelve.		
kmr	C2S		En la linea temporal de entrada al mundo, el servidor le contesta con 11 tramas, entre ellas jru (el mapa).		
hou	S2C		Sale en la entrada al mundo, encabezando el grupo de once ktq y un lru.		
ktq	S2C		Once seguidos en la entrada al mundo, detras de hou.		
lru	S2C		Cierra ese grupo de la entrada al mundo (hou, once ktq, lru).		
ieo	C2S		Cuatro seguidos en la entrada al mundo; el servidor contesta cuatro idu.		
idu	S2C		La respuesta a ieo: cuatro seguidos en la entrada al mundo.		
ivi	S2C		NO es el inventario: 9694 pares de id y valor, ids de 44 a 34352 y valores de cientos de millones; parece los contadores de estadisticas de la cuenta. Es la trama mas grande del bloque 3 (87878 B, el 97 % del fichero).		
lzh	C2S		Va justo antes de kmv y jrh al final de la entrada al mundo; el servidor contesta lzl.		
lzl	S2C		La respuesta a lzh en la entrada al mundo.		
lvb	S2C		Va entre jss y lva en la entrada al mundo.		
ktb			El mensaje privado (susurro): es un mensaje distinto de ktm y lleva su destinatario. No implementado. El documento no da direccion.		
iqj			Lleva bloques de look: en los 73 bloques que se le miden, el campo f2 del look vale algo distinto de 3. El documento no da direccion.		
